Market,Facility,Sales Order #,Work Order #,Customer Reference Number,Alternate Reference Number,Booked Date,Sales Order Status,Work Order Status,Operational Status,Scheduling Status,Receiving Status,Work Order Hold Type,Status Updated Date,Order Category,Original Scheduled Date,Scheduled Date,Deliver By Date,Sales Order ClosedDate,Work Order ClosedDate,Days to First Call,Days to Schedule,Courtesy Call Date,First Schedule Attempt,First Offered Date,Last Call Date,First Schedule Date,Rescheduled Date,Scheduling Attempts,Not At Home Exception,Weather Exception,Refused Exception,Stop Exception,Item Exception,Base Services,Service Windows,Customer City,Customer State,CustomerZip,Customer loc Lattitude,Avg Miles Per Order
LMH Syracuse,LAST MILE HUB SYRACUSE,000005ML4A4G8000004000,000005ML4AB50000006000,1000157613-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/24/2021,Service Only,2/17/2021,2/24/2021,2/24/2021,2/24/2021,2/24/2021,,,,,2/17/2021,,,2/24/2021,4,,,,,,Assembly Only,13:00:00 - 17:00:00,ADAMS CENTER,NY,13606,43.8934877000,65
LMH Union City,LAST MILE HUB UNION CITY,0000061ED8IPA000004000,0000061ED8KRM000006000,1000218447-Relo,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/23/2021,Service Only,4/21/2021,4/23/2021,4/23/2021,4/23/2021,4/23/2021,0,0,4/17/2021,4/16/2021,4/21/2021,4/20/2021,4/17/2021,4/23/2021,1,,,,"Out of Time Window,",,Wall to Wall Relocation,15:00:00 - 19:00:00,ALAMEDA,CA,94502,37.7477520000,18.18
LMH Albuquerque,LAST MILE HUB ALBUQUERQUE,000005R94KRP4000006000,000005R94KTVU000004000,TONAL1000116045-Repair,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/10/2021,Service Only,3/9/2021,3/10/2021,3/10/2021,3/10/2021,3/10/2021,,,,,4/16/2021,,,3/10/2021,1,,,,,,Assembly Only,12:00:00 - 16:00:00,ALBUQUERQUE,NM,87114,35.1981918000,10.85
LMH Albuquerque,LAST MILE HUB ALBUQUERQUE,000005VULN6JQ000006000,000005VULN8M4000002000,1000040808-WO,n/a,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/27/2021,Service Only,4/23/2021,4/23/2021,4/23/2021,4/27/2021,4/23/2021,,,,,4/23/2021,,,4/23/2021,1,,,,,,Service Call,11:00:00 - 15:00:00,ALBUQUERQUE,NM,87108,35.0659476000,6.74
LMH Austin,LAST MILE HUB AUSTIN,000005OS3G2MM000002001,000005OS3I1K8000002000,1000030599,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/1/2021,Service Only,3/1/2021,3/1/2021,3/1/2021,3/1/2021,3/1/2021,,,,,,,,3/1/2021,,,,,"Out of Time Window,",,Service Call,14:00:00 - 18:00:00,ALEDO,TX,76008,32.6893805000,207.06
LMH Ontario,LAST MILE HUB ONTARIO,000005KD6487S000004000,000005NOUIOM4000006000,1000152244-Relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/16/2021,Service Only,2/16/2021,2/16/2021,2/16/2021,2/16/2021,2/16/2021,,,,,3/1/2021,,,2/16/2021,,,,,,,Relocation - Pick Up,15:00:00 - 19:00:00,ALISO VIEJO,CA,92656,33.5820115000,46.15
LMH Dallas,LAST MILE HUB DALLAS,000005RKTU5VG000006000,000005RKTU7QQ000002000,1000188799-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/24/2021,Service Only,3/24/2021,3/24/2021,3/24/2021,3/24/2021,3/24/2021,,,,,3/15/2021,,,3/24/2021,1,,,,,,Assembly Only,11:00:00 - 15:00:00,ALLEN,TX,75013,33.1432933000,51.41
LMH Dallas,LAST MILE HUB DALLAS,000006019FN4G000006000,000006019FOQ0000006000,1000213009-relo,,2/2/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/8/2021,Service Only,5/12/2021,5/12/2021,5/12/2021,,,,,,,4/12/2021,,,5/12/2021,1,,,,,,Assembly Only,07:00:00 - 22:00:00,ALLEN,TX,75002,33.0712626000,50.63
LMH Oklahoma City,LAST MILE HUB OKLAHOMA CITY,000005LKUGOSA000002000,000005LKUGQUI000002000,1000155671-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/9/2021,Service Only,3/9/2021,3/9/2021,3/9/2021,3/9/2021,3/9/2021,,,,,,,,3/9/2021,1,,,,"Out of Time Window,",,Assembly Only,16:00:00 - 20:00:00,ALTUS,OK,73521,34.6532307000,141.72
LMH Boston,LAST MILE HUB BOSTON,000005R53U68G000006000,000005R53U7RG000006000,1000193763-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/29/2021,Service Only,3/29/2021,3/29/2021,3/29/2021,3/29/2021,3/29/2021,,,,,3/12/2021,,,3/29/2021,3,,,,,,Relocation - Pick Up,09:00:00 - 13:00:00,ANDOVER,MA,01810,42.6750199000,58.46
