Work Order ID,Customer Order Number,Facility Name,Bulk ID,House Way Bill,Distribution Center,Mid-Mile Booked Date,Mid-Mile Ship Date,Mid-Mile Land Date,Mid-Mile POD,Work Order Status,Last Mile Receiving Status
000005O6THAN4000004000,1000118824,LAST MILE HUB MINNEAPOLIS,020121-BULKXPOMSP,736895,SAN FRANCISCO,2/1/2021 1:21:04 PM -05:00,2/9/2021,2/11/2021 12:00 AM,TRUE,Completed,Shipped
000005LGM1CJ4000006000,1000116784,LAST MILE HUB NEW ORLEANS,020121-BULKXPOMSY,737104,SAN FRANCISCO,2/1/2021 1:24:15 PM -05:00,2/10/2021,2/17/2021 12:00 AM,TRUE,Completed,Shipped
000005LH0B4H6000006000,1000116070,LAST MILE HUB NEW ORLEANS,020121-BULKXPOMSY,737104,SAN FRANCISCO,2/1/2021 10:27:01 AM -05:00,2/10/2021,2/17/2021 12:00 AM,TRUE,Completed,Shipped
000005LGNOD2K000004000,1000110652-RMA,LAST MILE HUB OKLAHOMA CITY,020121-BULKXPOOKC,737157,SAN FRANCISCO,2/1/2021 10:47:02 AM -05:00,2/10/2021,2/22/2021 12:00 AM,TRUE,Cancelled,Not Received
000005LGOAM6I000004000,1000096110-RMA2,LAST MILE HUB OKLAHOMA CITY,020121-BULKXPOOKC,737157,SAN FRANCISCO,2/1/2021 11:45:48 AM -05:00,2/10/2021,2/22/2021 12:00 AM,TRUE,Cancelled,Not Received
000005LGSASSE000002000,1000118176,LAST MILE HUB OKLAHOMA CITY,020121-BULKXPOOKC,737157,SAN FRANCISCO,2/1/2021 2:25:11 PM -05:00,2/10/2021,2/22/2021 12:00 AM,TRUE,Completed,Shipped
000005LGVOQKO000004000,1000114937,LAST MILE HUB OKLAHOMA CITY,020121-BULKXPOOKC,737157,SAN FRANCISCO,2/1/2021 2:37:06 PM -05:00,2/10/2021,2/22/2021 12:00 AM,TRUE,Completed,Shipped
000005LGVORJS000002000,1000114937,LAST MILE HUB OKLAHOMA CITY,020121-BULKXPOOKC,737157,SAN FRANCISCO,2/1/2021 2:37:06 PM -05:00,2/10/2021,2/22/2021 12:00 AM,TRUE,Completed,Shipped
000005R3EE94G000006000,1000114937,LAST MILE HUB OKLAHOMA CITY,020121-BULKXPOOKC,737157,SAN FRANCISCO,2/1/2021 2:37:06 PM -05:00,2/10/2021,2/22/2021 12:00 AM,TRUE,Open,Fully Received
000005LGSAT2E000004000,1000117619,LAST MILE HUB OMAHA,020121-BULKXPOOMA,737080,SAN FRANCISCO,2/1/2021 2:37:06 PM -05:00,2/10/2021,2/12/2021 12:00 AM,TRUE,Completed,Shipped
